Story,Tom_Label,P1,P2,WM_Label,TOM Responses,WM Responses
The ball is placed in room_4. The ball is placed in room_3. The hat is placed in room_2. The apple is placed in room_4. The apple is placed in room_1. The shoe is placed in room_1. The apple is placed in the_hallway. The apple is placed in room_4. The shoe is placed in room_5. The bottle is placed in room_2. The chess piece is placed in room_2. The hat is placed in room_3. The shoe is placed in room_4. The ball is placed in the_hallway. The hat is placed in room_4. The ball is placed in room_1. The bottle is placed in the_hallway. The ball is placed in room_5. The apple is placed in room_3. The hat is placed in room_1. The chess piece is placed in the_hallway. The chess piece is placed in room_4. The ball is placed in room_1. The shoe is placed in room_5. The shoe is placed in room_1. The ball is placed in the_hallway. The shoe is placed in room_2. The apple is placed in the_hallway. The shoe is placed in the_hallway. The apple is placed in room_2,the_hallway,"The hat,The bottle",The chess piece,the_hallway,room_4,The chess piece was placed in room_2.
The hat is placed in room_4. The apple is placed in room_4. The ball is placed in room_4. The shoe is placed in room_4. The shoe is placed in room_3. The ball is placed in room_3. The hat is placed in room_5. The hat is placed in room_1. The hat is placed in room_5. The bottle is placed in room_4. The apple is placed in room_3. The shoe is placed in room_4. The bottle is placed in room_1. The hat is placed in room_4. The chess piece is placed in room_2. The bottle is placed in the_hallway. The bottle is placed in room_1. The ball is placed in room_2. The hat is placed in room_5. The ball is placed in room_3. The apple is placed in room_4. The apple is placed in room_1. The bottle is placed in room_2. The hat is placed in room_2. The hat is placed in the_hallway. The hat is placed in room_4. The chess piece is placed in room_1. The chess piece is placed in room_5. The hat is placed in room_3. The chess piece is placed in room_1,room_4,"The ball,The shoe",The apple,room_4,room_4,The apple was placed in room_4.
The apple is placed in room_1. The shoe is placed in room_4. The apple is placed in room_2. The shoe is placed in room_1. The shoe is placed in the_hallway. The hat is placed in room_4. The bottle is placed in room_1. The ball is placed in room_4. The shoe is placed in room_2. The shoe is placed in the_hallway. The chess piece is placed in room_4. The hat is placed in room_5. The apple is placed in room_1. The ball is placed in room_5. The bottle is placed in the_hallway. The shoe is placed in room_2. The bottle is placed in room_2. The bottle is placed in room_1. The apple is placed in room_2. The apple is placed in room_1. The chess piece is placed in room_5. The chess piece is placed in room_2. The apple is placed in room_2. The shoe is placed in room_1. The bottle is placed in the_hallway. The bottle is placed in room_1. The shoe is placed in the_hallway. The apple is placed in room_3. The bottle is placed in room_2. The shoe is placed in room_4,room_5,"The ball,The hat",The chess piece,room_5,room_4,The chess piece was placed in room_4.
The shoe is placed in room_2. The shoe is placed in room_1. The shoe is placed in room_2. The bottle is placed in room_4. The shoe is placed in room_1. The shoe is placed in room_5. The ball is placed in room_1. The ball is placed in room_5. The hat is placed in room_4. The apple is placed in room_2. The chess piece is placed in room_4. The ball is placed in room_2. The hat is placed in room_5. The shoe is placed in room_1. The ball is placed in room_3. The shoe is placed in room_2. The apple is placed in room_3. The bottle is placed in room_5. The apple is placed in the_hallway. The ball is placed in room_2. The chess piece is placed in room_5. The chess piece is placed in room_2. The shoe is placed in room_1. The shoe is placed in room_2. The ball is placed in room_1. The shoe is placed in room_3. The apple is placed in room_2. The shoe is placed in the_hallway. The apple is placed in the_hallway. The ball is placed in room_2,room_5,"The bottle,The hat",The chess piece,room_5,room_4,The chess piece was placed in room_4.
The chess piece is placed in room_2. The hat is placed in room_1. The ball is placed in room_1. The apple is placed in room_4. The bottle is placed in room_1. The hat is placed in room_5. The apple is placed in room_1. The hat is placed in room_2. The apple is placed in room_2. The chess piece is placed in room_1. The shoe is placed in room_1. The hat is placed in the_hallway. The ball is placed in the_hallway. The ball is placed in room_1. The apple is placed in room_3. The bottle is placed in room_5. The hat is placed in room_4. The apple is placed in room_4. The apple is placed in room_3. The chess piece is placed in the_hallway. The shoe is placed in room_5. The shoe is placed in room_2. The hat is placed in room_1. The apple is placed in room_4. The apple is placed in room_3. The hat is placed in room_5. The apple is placed in room_4. The hat is placed in room_4. The chess piece is placed in room_1. The chess piece is placed in the_hallway,room_5,"The ball,The bottle",The shoe,room_5,room_2,The shoe was placed in room_1.
The chess piece is placed in room_1. The bottle is placed in room_4. The chess piece is placed in room_5. The ball is placed in room_4. The shoe is placed in room_1. The chess piece is placed in room_4. The shoe is placed in room_2. The hat is placed in room_2. The shoe is placed in room_1. The chess piece is placed in room_3. The apple is placed in room_4. The bottle is placed in room_3. The ball is placed in room_1. The bottle is placed in room_4. The chess piece is placed in room_2. The bottle is placed in room_5. The hat is placed in room_3. The shoe is placed in room_2. The chess piece is placed in room_3. The shoe is placed in room_1. The apple is placed in room_1. The apple is placed in room_2. The hat is placed in room_4. The hat is placed in room_5. The shoe is placed in room_2. The shoe is placed in room_1. The hat is placed in room_4. The hat is placed in room_3. The shoe is placed in the_hallway. The shoe is placed in room_1,room_1,"The bottle,The ball",The apple,room_1,room_4,The apple was placed in room_4.
The hat is placed in room_2. The chess piece is placed in room_4. The chess piece is placed in room_3. The apple is placed in room_2. The apple is placed in the_hallway. The chess piece is placed in room_2. The chess piece is placed in room_3. The shoe is placed in room_1. The ball is placed in room_1. The hat is placed in the_hallway. The bottle is placed in room_1. The hat is placed in room_2. The ball is placed in the_hallway. The shoe is placed in the_hallway. The shoe is placed in room_4. The shoe is placed in room_5. The apple is placed in room_4. The shoe is placed in room_4. The shoe is placed in room_1. The hat is placed in the_hallway. The bottle is placed in the_hallway. The bottle is placed in room_2. The chess piece is placed in room_2. The chess piece is placed in room_1. The chess piece is placed in the_hallway. The apple is placed in room_5. The apple is placed in room_4. The hat is placed in room_1. The hat is placed in room_5. The chess piece is placed in room_1,the_hallway,"The shoe,The ball",The bottle,the_hallway,room_2,The bottle was placed in room_1.
The chess piece is placed in room_1. The chess piece is placed in room_2. The shoe is placed in room_2. The apple is placed in room_4. The shoe is placed in room_1. The shoe is placed in the_hallway. The ball is placed in room_4. The chess piece is placed in room_3. The chess piece is placed in room_4. The shoe is placed in room_4. The bottle is placed in room_4. The hat is placed in room_4. The ball is placed in room_3. The chess piece is placed in room_5. The chess piece is placed in room_2. The hat is placed in room_1. The shoe is placed in room_3. The apple is placed in room_3. The chess piece is placed in room_1. The hat is placed in the_hallway. The bottle is placed in room_3. The bottle is placed in the_hallway. The shoe is placed in room_2. The shoe is placed in the_hallway. The hat is placed in room_1. The chess piece is placed in room_5. The chess piece is placed in room_1. The chess piece is placed in room_5. The shoe is placed in room_1. The chess piece is placed in room_2,room_3,"The apple,The ball",The bottle,room_3,room_3,The bottle was placed in room_3.
The apple is placed in room_1. The bottle is placed in room_1. The ball is placed in room_1. The hat is placed in room_1. The apple is placed in room_5. The shoe is placed in room_4. The chess piece is placed in room_1. The chess piece is placed in room_5. The ball is placed in room_2. The shoe is placed in room_5. The hat is placed in room_5. The bottle is placed in the_hallway. The shoe is placed in room_4. The ball is placed in the_hallway. The chess piece is placed in room_4. The apple is placed in room_4. The ball is placed in room_4. The chess piece is placed in room_5. The chess piece is placed in room_4. The bottle is placed in room_4. The hat is placed in room_4. The hat is placed in room_3. The ball is placed in room_1. The ball is placed in the_hallway. The ball is placed in room_4. The shoe is placed in room_1. The ball is placed in room_5. The shoe is placed in the_hallway. The ball is placed in room_1. The shoe is placed in room_2,room_4,"The chess piece,The apple",The hat,room_4,room_3,The hat was placed in room_4.
The hat is placed in room_1. The bottle is placed in room_4. The shoe is placed in room_2. The apple is placed in room_1. The bottle is placed in room_5. The bottle is placed in room_4. The ball is placed in room_1. The hat is placed in room_5. The ball is placed in room_5. The bottle is placed in room_1. The apple is placed in room_5. The bottle is placed in the_hallway. The shoe is placed in the_hallway. The shoe is placed in room_2. The chess piece is placed in room_1. The hat is placed in room_1. The chess piece is placed in room_2. The shoe is placed in the_hallway. The ball is placed in room_1. The shoe is placed in room_2. The apple is placed in room_1. The apple is placed in room_2. The shoe is placed in room_1. The chess piece is placed in room_1. The shoe is placed in the_hallway. The shoe is placed in room_2. The shoe is placed in the_hallway. The chess piece is placed in room_5. The bottle is placed in room_4. The bottle is placed in room_5,room_1,"The hat,The ball",The apple,room_1,room_2,The apple was placed in room_1.
The hat is placed in room_2. The chess piece is placed in room_2. The chess piece is placed in room_1. The apple is placed in room_4. The ball is placed in room_1. The apple is placed in room_3. The shoe is placed in room_4. The hat is placed in room_3. The bottle is placed in room_4. The bottle is placed in room_3. The shoe is placed in room_3. The chess piece is placed in the_hallway. The hat is placed in room_4. The apple is placed in room_4. The chess piece is placed in room_1. The chess piece is placed in room_5. The apple is placed in room_1. The ball is placed in room_5. The apple is placed in room_2. The bottle is placed in the_hallway. The shoe is placed in the_hallway. The shoe is placed in room_4. The hat is placed in room_3. The hat is placed in room_4. The hat is placed in room_3. The hat is placed in room_2. The ball is placed in room_1. The ball is placed in room_2. The ball is placed in the_hallway. The hat is placed in room_1,the_hallway,"The apple,The bottle",The shoe,the_hallway,Room 4,room_4
The shoe is placed in room_4. The chess piece is placed in room_4. The bottle is placed in room_1. The chess piece is placed in room_5. The apple is placed in room_4. The shoe is placed in room_3. The ball is placed in room_4. The apple is placed in room_5. The hat is placed in room_4. The ball is placed in room_3. The hat is placed in room_3. The apple is placed in room_2. The chess piece is placed in room_4. The ball is placed in the_hallway. The ball is placed in room_2. The chess piece is placed in room_3. The apple is placed in room_1. The shoe is placed in room_4. The apple is placed in room_2. The bottle is placed in the_hallway. The hat is placed in room_4. The hat is placed in room_5. The apple is placed in the_hallway. The chess piece is placed in room_2. The chess piece is placed in room_3. The chess piece is placed in room_2. The chess piece is placed in room_3. The bottle is placed in room_4. The chess piece is placed in room_2. The bottle is placed in room_5,room_4,"The ball,The shoe",The hat,room_4,room_5,The hat was placed in room_3.
The shoe is placed in room_4. The chess piece is placed in room_4. The shoe is placed in room_1. The bottle is placed in room_4. The apple is placed in room_4. The shoe is placed in the_hallway. The bottle is placed in room_3. The ball is placed in room_2. The ball is placed in room_1. The apple is placed in room_3. The chess piece is placed in room_3. The shoe is placed in room_4. The shoe is placed in room_1. The bottle is placed in the_hallway. The shoe is placed in room_2. The bottle is placed in room_2. The apple is placed in room_2. The bottle is placed in room_1. The bottle is placed in the_hallway. The hat is placed in room_2. The chess piece is placed in room_2. The chess piece is placed in the_hallway. The ball is placed in the_hallway. The ball is placed in room_2. The shoe is placed in room_1. The ball is placed in room_1. The hat is placed in room_3. The ball is placed in room_5. The shoe is placed in room_5. The ball is placed in room_4,room_2,"The bottle,The apple",The chess piece,room_2,room_2,The chess piece was placed in room_3.
The chess piece is placed in room_2. The bottle is placed in room_2. The bottle is placed in room_3. The bottle is placed in room_4. The shoe is placed in room_2. The shoe is placed in room_1. The bottle is placed in room_1. The hat is placed in room_2. The ball is placed in room_2. The bottle is placed in the_hallway. The apple is placed in room_2. The shoe is placed in the_hallway. The chess piece is placed in room_3. The hat is placed in room_1. The bottle is placed in room_4. The bottle is placed in room_1. The ball is placed in room_1. The chess piece is placed in room_2. The bottle is placed in room_2. The shoe is placed in room_1. The apple is placed in room_1. The apple is placed in room_5. The bottle is placed in room_1. The bottle is placed in room_2. The bottle is placed in room_3. The bottle is placed in room_4. The chess piece is placed in the_hallway. The bottle is placed in room_3. The bottle is placed in room_4. The shoe is placed in the_hallway,room_1,"The ball,The hat",The apple,room_1,room_5,The apple was placed in room_1.
The apple is placed in room_2. The chess piece is placed in room_4. The hat is placed in room_2. The ball is placed in room_2. The ball is placed in room_3. The ball is placed in room_2. The ball is placed in room_1. The apple is placed in room_3. The apple is placed in room_2. The bottle is placed in room_2. The shoe is placed in room_2. The hat is placed in the_hallway. The bottle is placed in room_1. The apple is placed in room_1. The bottle is placed in room_5. The ball is placed in room_5. The apple is placed in room_5. The ball is placed in room_4. The chess piece is placed in room_1. The ball is placed in room_1. The shoe is placed in the_hallway. The shoe is placed in room_1. The ball is placed in the_hallway. The ball is placed in room_1. The chess piece is placed in the_hallway. The chess piece is placed in room_4. The chess piece is placed in room_5. The apple is placed in room_4. The ball is placed in the_hallway. The apple is placed in room_5,the_hallway,"The bottle,The hat",The shoe,the_hallway,room_1,The shoe was placed in room_2.
The ball is placed in room_1. The shoe is placed in room_1. The shoe is placed in room_5. The ball is placed in room_5. The bottle is placed in room_4. The bottle is placed in room_5. The hat is placed in room_1. The chess piece is placed in room_1. The chess piece is placed in room_5. The chess piece is placed in room_2. The hat is placed in room_5. The shoe is placed in room_2. The chess piece is placed in room_3. The chess piece is placed in room_4. The bottle is placed in room_4. The apple is placed in room_2. The ball is placed in room_1. The bottle is placed in room_1. The chess piece is placed in room_5. The ball is placed in the_hallway. The hat is placed in room_2. The hat is placed in the_hallway. The bottle is placed in the_hallway. The bottle is placed in room_1. The bottle is placed in room_2. The bottle is placed in room_3. The apple is placed in room_1. The apple is placed in the_hallway. The chess piece is placed in room_4. The apple is placed in room_2,room_2,"The ball,The shoe",The hat,room_2,the hallway,The hat was placed in room_1.
The ball is placed in room_1. The ball is placed in room_5. The hat is placed in room_1. The ball is placed in room_1. The ball is placed in room_5. The ball is placed in room_2. The chess piece is placed in room_4. The ball is placed in the_hallway. The bottle is placed in room_1. The chess piece is placed in room_3. The shoe is placed in room_1. The apple is placed in room_1. The hat is placed in the_hallway. The apple is placed in the_hallway. The apple is placed in room_2. The chess piece is placed in room_4. The ball is placed in room_4. The apple is placed in room_3. The ball is placed in room_3. The bottle is placed in room_2. The shoe is placed in the_hallway. The shoe is placed in room_2. The chess piece is placed in room_3. The ball is placed in room_4. The apple is placed in the_hallway. The ball is placed in room_3. The apple is placed in room_4. The chess piece is placed in the_hallway. The ball is placed in room_2. The apple is placed in room_5,the_hallway,"The bottle,The hat",The shoe,the_hallway,room_2,The shoe was placed in room_2.
The bottle is placed in room_1. The chess piece is placed in room_1. The hat is placed in room_1. The chess piece is placed in room_5. The shoe is placed in room_1. The apple is placed in room_2. The ball is placed in room_1. The hat is placed in room_2. The shoe is placed in room_5. The ball is placed in room_2. The bottle is placed in room_5. The hat is placed in room_3. The apple is placed in the_hallway. The ball is placed in room_3. The hat is placed in room_2. The shoe is placed in room_4. The apple is placed in room_1. The ball is placed in room_2. The hat is placed in the_hallway. The ball is placed in room_3. The bottle is placed in room_4. The bottle is placed in room_1. The ball is placed in the_hallway. The apple is placed in the_hallway. The hat is placed in room_4. The hat is placed in room_3. The hat is placed in the_hallway. The hat is placed in room_1. The ball is placed in room_2. The apple is placed in room_1,room_4,"The chess piece,The shoe",The bottle,room_4,room_4,The bottle was placed in room_5.
The chess piece is placed in room_4. The bottle is placed in room_4. The bottle is placed in room_3. The hat is placed in room_2. The shoe is placed in room_1. The bottle is placed in room_2. The ball is placed in room_2. The shoe is placed in the_hallway. The bottle is placed in room_1. The chess piece is placed in room_1. The apple is placed in room_2. The ball is placed in the_hallway. The bottle is placed in room_5. The shoe is placed in room_1. The bottle is placed in room_2. The shoe is placed in the_hallway. The shoe is placed in room_1. The chess piece is placed in room_2. The shoe is placed in room_2. The shoe is placed in room_3. The apple is placed in the_hallway. The apple is placed in room_1. The chess piece is placed in room_1. The shoe is placed in room_4. The shoe is placed in room_5. The chess piece is placed in room_5. The bottle is placed in room_3. The shoe is placed in room_4. The bottle is placed in the_hallway. The shoe is placed in room_5,the_hallway,"The hat,The ball",The apple,the_hallway,room_1,The apple was placed in room_2.
The apple is placed in room_1. The shoe is placed in room_2. The hat is placed in room_2. The bottle is placed in room_1. The chess piece is placed in room_2. The bottle is placed in room_5. The ball is placed in room_1. The apple is placed in room_5. The hat is placed in room_1. The chess piece is placed in room_3. The ball is placed in room_5. The hat is placed in room_5. The hat is placed in room_4. The apple is placed in room_1. The hat is placed in room_1. The chess piece is placed in room_2. The shoe is placed in the_hallway. The chess piece is placed in room_3. The shoe is placed in room_1. The hat is placed in room_5. The ball is placed in room_1. The ball is placed in room_2. The chess piece is placed in the_hallway. The shoe is placed in the_hallway. The shoe is placed in room_4. The chess piece is placed in room_4. The hat is placed in room_1. The hat is placed in room_5. The chess piece is placed in room_5. The hat is placed in room_1,room_1,"The bottle,The apple",The ball,room_1,room_2,The ball was placed in room_1.
The shoe is placed in room_2. The hat is placed in room_2. The hat is placed in room_3. The ball is placed in room_4. The hat is placed in room_4. The chess piece is placed in room_2. The ball is placed in room_5. The ball is placed in room_2. The bottle is placed in room_2. The ball is placed in the_hallway. The apple is placed in room_2. The shoe is placed in room_3. The ball is placed in room_1. The chess piece is placed in the_hallway. The shoe is placed in room_2. The bottle is placed in room_1. The hat is placed in room_1. The hat is placed in room_5. The ball is placed in room_2. The hat is placed in room_2. The apple is placed in the_hallway. The apple is placed in room_4. The ball is placed in room_1. The bottle is placed in room_2. The bottle is placed in room_3. The ball is placed in room_5. The hat is placed in room_3. The ball is placed in room_4. The ball is placed in room_5. The ball is placed in room_1,the_hallway,"The shoe,The chess piece",The apple,the_hallway,room_4,The story does not provide information on when the shoe and the chess piece were in the same room as the apple.
The chess piece is placed in room_1. The shoe is placed in room_1. The apple is placed in room_1. The apple is placed in room_5. The bottle is placed in room_2. The bottle is placed in room_3. The hat is placed in room_4. The hat is placed in room_3. The bottle is placed in room_2. The chess piece is placed in room_5. The shoe is placed in room_5. The apple is placed in room_2. The ball is placed in room_1. The chess piece is placed in room_2. The bottle is placed in the_hallway. The bottle is placed in room_4. The apple is placed in the_hallway. The bottle is placed in room_5. The hat is placed in the_hallway. The ball is placed in room_2. The shoe is placed in room_2. The shoe is placed in room_1. The hat is placed in room_1. The hat is placed in room_2. The hat is placed in room_3. The ball is placed in room_1. The ball is placed in room_5. The bottle is placed in room_4. The ball is placed in room_2. The bottle is placed in room_1,room_2,"The apple,The chess piece",The shoe,room_2,room_2,Room_1
The apple is placed in room_4. The apple is placed in room_1. The shoe is placed in room_4. The apple is placed in room_2. The ball is placed in room_4. The bottle is placed in room_4. The hat is placed in room_2. The shoe is placed in room_1. The shoe is placed in room_2. The apple is placed in room_3. The chess piece is placed in room_4. The ball is placed in room_3. The ball is placed in room_2. The bottle is placed in room_3. The hat is placed in the_hallway. The hat is placed in room_4. The apple is placed in the_hallway. The shoe is placed in room_1. The apple is placed in room_2. The apple is placed in room_1. The chess piece is placed in room_3. The chess piece is placed in the_hallway. The apple is placed in room_5. The apple is placed in room_2. The apple is placed in the_hallway. The shoe is placed in the_hallway. The apple is placed in room_2. The apple is placed in room_3. The shoe is placed in room_2. The apple is placed in room_4,room_3,"The ball,The bottle",The chess piece,room_3,room_4,The chess piece was placed in room_4.
The shoe is placed in room_1. The hat is placed in room_4. The chess piece is placed in room_1. The chess piece is placed in the_hallway. The shoe is placed in the_hallway. The hat is placed in room_3. The bottle is placed in room_2. The shoe is placed in room_4. The apple is placed in room_2. The chess piece is placed in room_1. The ball is placed in room_2. The shoe is placed in room_3. The bottle is placed in room_1. The hat is placed in room_4. The hat is placed in room_3. The shoe is placed in the_hallway. The bottle is placed in room_5. The apple is placed in the_hallway. The shoe is placed in room_1. The chess piece is placed in room_5. The ball is placed in the_hallway. The ball is placed in room_1. The chess piece is placed in room_4. The shoe is placed in room_2. The chess piece is placed in room_1. The hat is placed in the_hallway. The chess piece is placed in room_5. The shoe is placed in the_hallway. The shoe is placed in room_2. The chess piece is placed in room_1,the_hallway,"The bottle,The apple",The ball,the_hallway,room_1,The ball was placed in room_2.
