,Story,Label,P1,P2,Last,TOM Responses
0,Sally enters room_1. Anne enters room_2. Sally enters room_2. Charlie enters room_2. Charlie enters the_hallway. Sally enters room_1. Charlie enters the_hallway,the_hallway,Anne,Charlie,,The hallway
0,Sally enters room_1. Charlie enters room_1. Charlie enters room_2. Anne enters room_1. Anne enters the_hallway. Charlie enters room_1. Anne enters the_hallway,the_hallway,Sally,Anne,,Sally watched Anne go to the hallway.
0,Charlie enters room_2. Sally enters room_1. Charlie enters room_1. Anne enters room_1. Anne enters room_2. Charlie enters room_2. Anne enters the_hallway,room_2,Sally,Anne,,the hallway
0,Charlie enters room_2. Charlie enters the_hallway. Sally enters room_2. Anne enters room_2. Anne enters room_1. Charlie enters room_2. Anne enters room_1,room_1,Sally,Anne,,Sally watched Anne go to room_1.
0,Sally enters room_1. Anne enters room_1. Anne enters the_hallway. Charlie enters room_1. Charlie enters the_hallway. Anne enters room_2. Charlie enters the_hallway,the_hallway,Sally,Charlie,,the hallway
0,Sally enters room_1. Anne enters room_2. Sally enters room_2. Charlie enters room_2. Charlie enters the_hallway. Sally enters room_1. Charlie enters room_1,the_hallway,Anne,Charlie,,the_hallway
0,Charlie enters room_1. Charlie enters room_2. Anne enters room_1. Sally enters room_1. Sally enters room_2. Charlie enters room_1. Sally enters room_2,room_2,Anne,Sally,,Room_2
0,Sally enters room_1. Sally enters the_hallway. Charlie enters room_2. Anne enters room_2. Anne enters room_1. Sally enters room_1. Anne enters the_hallway,room_1,Charlie,Anne,,Charlie watched Anne go to room_1.
0,Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Charlie enters room_1. Anne enters room_2. Charlie enters the_hallway,room_1,Sally,Charlie,,Sally watched Charlie go to room_1.
0,Anne enters room_2. Charlie enters room_1. Anne enters room_1. Sally enters room_1. Sally enters room_2. Anne enters the_hallway. Sally enters room_2,room_2,Charlie,Sally,,Charlie did not see Sally go anywhere as they were never in the same room at the same time.
0,Charlie enters room_1. Anne enters room_2. Charlie enters the_hallway. Sally enters room_2. Sally enters the_hallway. Charlie enters room_1. Sally enters room_1,the_hallway,Anne,Sally,,Anne did not see Sally go anywhere because they were in different rooms.
0,Charlie enters room_1. Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Sally enters the_hallway. Anne enters room_1. Sally enters room_2,the_hallway,Charlie,Sally,,the_hallway
0,Charlie enters room_2. Charlie enters room_1. Anne enters room_2. Sally enters room_2. Sally enters the_hallway. Charlie enters room_2. Sally enters the_hallway,the_hallway,Anne,Sally,,the_hallway
0,Anne enters room_2. Sally enters room_2. Anne enters the_hallway. Charlie enters room_2. Charlie enters the_hallway. Anne enters room_1. Charlie enters room_1,the_hallway,Sally,Charlie,,the_hallway
0,Anne enters room_1. Anne enters room_2. Sally enters room_2. Charlie enters room_2. Charlie enters room_1. Anne enters the_hallway. Charlie enters room_1,room_1,Sally,Charlie,,Room_1
0,Sally enters room_2. Anne enters room_1. Anne enters the_hallway. Charlie enters room_2. Charlie enters room_1. Anne enters room_2. Charlie enters room_1,room_1,Sally,Charlie,,Sally watched Charlie go to room_1.
0,Anne enters room_2. Charlie enters room_1. Charlie enters the_hallway. Sally enters room_2. Sally enters room_1. Charlie enters room_2. Sally enters room_1,room_1,Anne,Sally,,Anne watched Sally enter room_1.
0,Sally enters room_2. Sally enters room_1. Anne enters room_1. Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Charlie enters room_2,room_2,Anne,Charlie,,Anne watched Charlie go to room_2.
0,Sally enters room_2. Anne enters room_1. Anne enters room_2. Charlie enters room_2. Charlie enters the_hallway. Anne enters the_hallway. Charlie enters the_hallway,the_hallway,Sally,Charlie,,the hallway
0,Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Charlie enters room_1. Anne enters room_2. Charlie enters the_hallway,room_1,Sally,Charlie,,Sally watched Charlie go to room_1.
0,Sally enters room_2. Charlie enters room_1. Charlie enters room_2. Anne enters room_2. Anne enters room_1. Charlie enters room_1. Anne enters room_1,room_1,Sally,Anne,,Room_1
0,Sally enters room_2. Anne enters room_2. Sally enters room_1. Charlie enters room_2. Charlie enters room_1. Sally enters the_hallway. Charlie enters the_hallway,room_1,Anne,Charlie,,Charlie went to room_1.
0,Anne enters room_1. Charlie enters room_1. Anne enters room_2. Sally enters room_1. Sally enters room_2. Anne enters the_hallway. Sally enters the_hallway,room_2,Charlie,Sally,,"Charlie did not see Sally go anywhere because by the time Sally entered room_1, Charlie was already in a different location."
0,Anne enters room_2. Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Sally enters room_1. Charlie enters the_hallway. Sally enters the_hallway,room_1,Anne,Sally,,the_hallway
0,Sally enters room_1. Sally enters the_hallway. Anne enters room_2. Charlie enters room_2. Charlie enters the_hallway. Sally enters room_2. Charlie enters the_hallway,the_hallway,Anne,Charlie,,the_hallway
0,Sally enters room_1. Charlie enters room_2. Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Sally enters the_hallway. Anne enters room_1,the_hallway,Charlie,Anne,,the_hallway
0,Charlie enters room_1. Anne enters room_1. Anne enters room_2. Sally enters room_1. Sally enters the_hallway. Anne enters room_1. Sally enters the_hallway,the_hallway,Charlie,Sally,,Charlie watched Sally go to the hallway.
0,Anne enters room_1. Charlie enters room_2. Charlie enters room_1. Sally enters room_1. Sally enters room_2. Charlie enters the_hallway. Sally enters room_2,room_2,Anne,Sally,,Anne watched Sally go to room_2.
0,Charlie enters room_1. Sally enters room_2. Charlie enters the_hallway. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Anne enters the_hallway,the_hallway,Sally,Anne,,the_hallway
0,Charlie enters room_2. Sally enters room_2. Sally enters room_1. Anne enters room_2. Anne enters the_hallway. Sally enters the_hallway. Anne enters the_hallway,the_hallway,Charlie,Anne,,the_hallway
0,Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Charlie enters room_1. Charlie enters the_hallway. Anne enters room_2. Charlie enters room_2,the_hallway,Sally,Charlie,,Sally watched Charlie go to the hallway.
0,Charlie enters room_2. Charlie enters room_1. Sally enters room_2. Anne enters room_2. Anne enters room_1. Charlie enters the_hallway. Anne enters the_hallway,room_1,Sally,Anne,,the_hallway
0,Anne enters room_2. Charlie enters room_1. Anne enters the_hallway. Sally enters room_1. Sally enters the_hallway. Anne enters room_2. Sally enters the_hallway,the_hallway,Charlie,Sally,,Charlie did not see Sally go anywhere as they were not in the same room at any point.
0,Charlie enters room_1. Sally enters room_2. Sally enters the_hallway. Anne enters room_1. Anne enters room_2. Sally enters room_1. Anne enters the_hallway,room_2,Charlie,Anne,,Room_2
0,Sally enters room_1. Sally enters room_2. Anne enters room_1. Charlie enters room_1. Charlie enters room_2. Sally enters room_1. Charlie enters room_2,room_2,Anne,Charlie,,Room_2
0,Charlie enters room_2. Anne enters room_1. Charlie enters the_hallway. Sally enters room_1. Sally enters the_hallway. Charlie enters room_2. Sally enters room_2,the_hallway,Anne,Sally,,the_hallway
0,Anne enters room_1. Anne enters the_hallway. Charlie enters room_1. Sally enters room_1. Sally enters room_2. Anne enters room_2. Sally enters room_2,room_2,Charlie,Sally,,"Charlie did not watch Sally go anywhere, because he stayed in room_1 while Sally moved to room_2."
0,Sally enters room_1. Anne enters room_2. Anne enters the_hallway. Charlie enters room_1. Charlie enters room_2. Anne enters room_2. Charlie enters room_2,room_2,Sally,Charlie,,Room_2
0,Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Charlie enters the_hallway. Anne enters room_1,the_hallway,Sally,Anne,,the hallway
0,Charlie enters room_1. Sally enters room_1. Charlie enters room_2. Anne enters room_1. Anne enters the_hallway. Charlie enters the_hallway. Anne enters room_2,the_hallway,Sally,Anne,,the hallway
0,Charlie enters room_2. Anne enters room_2. Charlie enters the_hallway. Sally enters room_2. Sally enters the_hallway. Charlie enters room_2. Sally enters the_hallway,the_hallway,Anne,Sally,,the_hallway
0,Anne enters room_1. Anne enters the_hallway. Sally enters room_2. Charlie enters room_2. Charlie enters the_hallway. Anne enters room_1. Charlie enters room_1,the_hallway,Sally,Charlie,,the hallway
0,Charlie enters room_2. Sally enters room_2. Charlie enters room_1. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Anne enters room_1,the_hallway,Sally,Anne,,the hallway
0,Anne enters room_1. Anne enters room_2. Charlie enters room_1. Sally enters room_1. Sally enters room_2. Anne enters room_1. Sally enters room_2,room_2,Charlie,Sally,,Charlie did not see Sally go anywhere as he stayed in room_1 and did not see Sally leave.
0,Sally enters room_1. Anne enters room_2. Sally enters the_hallway. Charlie enters room_2. Charlie enters room_1. Sally enters room_1. Charlie enters the_hallway,room_1,Anne,Charlie,,Anne did not see Charlie go anywhere because they were never in the same room at the same time.
0,Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Charlie enters room_1. Anne enters the_hallway,the_hallway,Sally,Anne,,the_hallway
0,Charlie enters room_1. Sally enters room_1. Charlie enters the_hallway. Anne enters room_1. Anne enters room_2. Charlie enters room_1. Anne enters room_2,room_2,Sally,Anne,,Sally watched Anne enter room_2.
0,Anne enters room_2. Anne enters the_hallway. Sally enters room_2. Charlie enters room_2. Charlie enters room_1. Anne enters room_1. Charlie enters the_hallway,room_1,Sally,Charlie,,Charlie went to room_1.
0,Sally enters room_1. Charlie enters room_1. Sally enters room_2. Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Anne enters the_hallway,the_hallway,Charlie,Anne,,Charlie watched Anne go to the hallway.
0,Charlie enters room_1. Anne enters room_2. Charlie enters room_2. Sally enters room_2. Sally enters the_hallway. Charlie enters the_hallway. Sally enters the_hallway,the_hallway,Anne,Sally,,the_hallway
0,Sally enters room_2. Sally enters the_hallway. Anne enters room_2. Charlie enters room_2. Charlie enters room_1. Sally enters room_1. Charlie enters room_1,room_1,Anne,Charlie,,Anne watched Charlie go to room_1.
0,Charlie enters room_2. Charlie enters the_hallway. Anne enters room_2. Sally enters room_2. Sally enters room_1. Charlie enters room_2. Sally enters the_hallway,room_1,Anne,Sally,,Anne watched Sally go to room_1.
0,Sally enters room_1. Anne enters room_2. Sally enters room_2. Charlie enters room_2. Charlie enters room_1. Sally enters the_hallway. Charlie enters room_1,room_1,Anne,Charlie,,Room_1
0,Charlie enters room_1. Sally enters room_2. Sally enters room_1. Anne enters room_1. Anne enters the_hallway. Sally enters the_hallway. Anne enters room_2,the_hallway,Charlie,Anne,,the hallway
0,Charlie enters room_2. Charlie enters the_hallway. Sally enters room_1. Anne enters room_1. Anne enters room_2. Charlie enters room_1. Anne enters the_hallway,room_2,Sally,Anne,,room_2
0,Charlie enters room_2. Sally enters room_1. Sally enters the_hallway. Anne enters room_2. Anne enters room_1. Sally enters room_1. Anne enters room_1,room_1,Charlie,Anne,,Charlie did not watch Anne go anywhere since they were never in the same room at the same time.
0,Anne enters room_2. Sally enters room_2. Sally enters room_1. Charlie enters room_2. Charlie enters room_1. Sally enters the_hallway. Charlie enters the_hallway,room_1,Anne,Charlie,,the_hallway
0,Anne enters room_2. Anne enters room_1. Sally enters room_2. Charlie enters room_2. Charlie enters the_hallway. Anne enters the_hallway. Charlie enters the_hallway,the_hallway,Sally,Charlie,,the_hallway
0,Anne enters room_1. Sally enters room_2. Sally enters room_1. Charlie enters room_1. Charlie enters the_hallway. Sally enters the_hallway. Charlie enters the_hallway,the_hallway,Anne,Charlie,,the hallway
0,Sally enters room_2. Charlie enters room_2. Charlie enters room_1. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Anne enters room_1,the_hallway,Sally,Anne,,the_hallway
0,Anne enters room_2. Charlie enters room_1. Charlie enters room_2. Sally enters room_2. Sally enters the_hallway. Charlie enters the_hallway. Sally enters the_hallway,the_hallway,Anne,Sally,,The hallway
0,Charlie enters room_2. Sally enters room_1. Charlie enters room_1. Anne enters room_1. Anne enters the_hallway. Charlie enters the_hallway. Anne enters the_hallway,the_hallway,Sally,Anne,,the hallway
0,Anne enters room_2. Sally enters room_1. Anne enters room_1. Charlie enters room_1. Charlie enters room_2. Anne enters the_hallway. Charlie enters room_2,room_2,Sally,Charlie,,room_2
0,Charlie enters room_2. Sally enters room_1. Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Sally enters room_1. Anne enters room_1,the_hallway,Charlie,Anne,,the_hallway
0,Sally enters room_1. Anne enters room_1. Sally enters the_hallway. Charlie enters room_1. Charlie enters room_2. Sally enters room_1. Charlie enters room_2,room_2,Anne,Charlie,,the_hallway
0,Charlie enters room_2. Charlie enters room_1. Sally enters room_2. Anne enters room_2. Anne enters the_hallway. Charlie enters the_hallway. Anne enters the_hallway,the_hallway,Sally,Anne,,the_hallway
0,Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Sally enters room_2. Sally enters room_1. Anne enters room_1. Sally enters the_hallway,room_1,Charlie,Sally,,Charlie watched Sally enter room_1.
0,Charlie enters room_2. Charlie enters the_hallway. Anne enters room_1. Sally enters room_1. Sally enters room_2. Charlie enters room_1. Sally enters the_hallway,room_2,Anne,Sally,,Anne watched Sally go to room_2.
0,Sally enters room_1. Sally enters room_2. Anne enters room_1. Charlie enters room_1. Charlie enters the_hallway. Sally enters the_hallway. Charlie enters the_hallway,the_hallway,Anne,Charlie,,the_hallway
0,Charlie enters room_2. Sally enters room_2. Sally enters the_hallway. Anne enters room_2. Anne enters the_hallway. Sally enters room_2. Anne enters room_1,the_hallway,Charlie,Anne,,the_hallway
0,Anne enters room_1. Anne enters the_hallway. Sally enters room_1. Charlie enters room_1. Charlie enters the_hallway. Anne enters room_2. Charlie enters room_2,the_hallway,Sally,Charlie,,Sally watched Charlie go to the hallway.
0,Sally enters room_2. Charlie enters room_2. Charlie enters the_hallway. Anne enters room_2. Anne enters the_hallway. Charlie enters room_2. Anne enters room_1,the_hallway,Sally,Anne,,Sally watched Anne go to the hallway.
0,Charlie enters room_2. Anne enters room_2. Charlie enters room_1. Sally enters room_2. Sally enters room_1. Charlie enters the_hallway. Sally enters the_hallway,room_1,Anne,Sally,,The hallway.
0,Anne enters room_1. Anne enters the_hallway. Charlie enters room_1. Sally enters room_1. Sally enters room_2. Anne enters room_1. Sally enters room_2,room_2,Charlie,Sally,,Charlie did not see Sally go anywhere as he stayed in room_1 and did not see her move.
0,Charlie enters room_1. Charlie enters the_hallway. Sally enters room_1. Anne enters room_1. Anne enters the_hallway. Charlie enters room_2. Anne enters room_2,the_hallway,Sally,Anne,,the_hallway
0,Sally enters room_1. Sally enters room_2. Anne enters room_1. Charlie enters room_1. Charlie enters room_2. Sally enters the_hallway. Charlie enters the_hallway,room_2,Anne,Charlie,,Charlie entered the_hallway.
0,Sally enters room_2. Charlie enters room_1. Sally enters the_hallway. Anne enters room_1. Anne enters room_2. Sally enters room_1. Anne enters the_hallway,room_2,Charlie,Anne,,"Charlie did not see Anne go anywhere because when they were last in the same room (room_1), Charlie had already left the room before Anne entered."
